.model_id,.model_desc,.key,.index,.value,.conf_lo,.conf_hi,mean,low,high
1,GLMNET,prediction,06/01/2019,4.765102646,4.169079245,5.361126047,116.3431614,63.65589245,211.9646196
1,GLMNET,prediction,13/01/2019,5.878462339,5.282438938,6.474485739,356.259475,195.8493938,647.3857026
1,GLMNET,prediction,20/01/2019,5.902714303,5.306690902,6.498737704,365.0296361,200.6817384,663.3025571
1,GLMNET,prediction,27/01/2019,5.369550633,4.773527233,5.965574034,213.7663372,117.335905,388.776709
1,GLMNET,prediction,03/02/2019,5.279101669,4.683078269,5.87512507,195.1935495,107.1023289,355.0691916
1,GLMNET,prediction,10/02/2019,5.01151647,4.415493069,5.607539871,149.1322346,81.7226188,271.4730937
1,GLMNET,prediction,17/02/2019,5.071137113,4.475113712,5.667160514,158.3554295,86.8045843,288.2121535
1,GLMNET,prediction,24/02/2019,5.392319596,4.796296195,5.988342996,218.7124389,120.061199,397.7533265
1,GLMNET,prediction,03/03/2019,5.043077082,4.447053681,5.639100483,153.946064,84.375031,280.2096517
1,GLMNET,prediction,10/03/2019,4.9773259,4.381302499,5.573349301,144.0858883,78.94209013,262.3145436
1,GLMNET,prediction,17/03/2019,4.853511573,4.257488172,5.449534974,127.189748,69.63234414,231.6499524
1,GLMNET,prediction,24/03/2019,4.673362807,4.077339406,5.269386208,106.0571503,57.98831693,193.2966681
1,GLMNET,prediction,31/03/2019,4.647896181,4.05187278,5.243919581,103.3651889,56.50505056,188.4110614
1,GLMNET,prediction,07/04/2019,4.714095376,4.118071975,5.310118777,110.5078928,60.44066885,201.3742643
1,GLMNET,prediction,14/04/2019,4.699698518,4.103675117,5.295721919,108.9140303,59.5624532,198.4815834
1,GLMNET,prediction,21/04/2019,4.87776848,4.28174508,5.473791881,130.337255,71.36661538,237.3623229
1,GLMNET,prediction,28/04/2019,5.10864453,4.512621129,5.704667931,164.4459458,90.16044892,299.2657544
1,GLMNET,prediction,05/05/2019,5.097773501,4.501750101,5.693796902,162.657119,89.17480827,296.0192354
1,GLMNET,prediction,12/05/2019,5.500412278,4.904388878,6.096435679,243.7928342,133.8804563,443.2714188
1,GLMNET,prediction,19/05/2019,5.859972644,5.263949243,6.455996044,349.7145496,192.2431504,635.5074003
1,GLMNET,prediction,26/05/2019,5.954678988,5.358655587,6.550702389,384.5531237,211.4391485,698.7354878
1,GLMNET,prediction,02/06/2019,6.044033438,5.448010037,6.640056839,420.5900674,231.2954463,764.1384812
1,GLMNET,prediction,09/06/2019,6.118074162,5.522050761,6.714097562,452.9895416,249.1475042,822.939877
1,GLMNET,prediction,16/06/2019,6.13923723,5.54321383,6.735260631,462.6997399,254.4978078,840.5627931
1,GLMNET,prediction,23/06/2019,6.165492029,5.569468629,6.76151543,475.0353087,261.2946863,862.9504609
1,GLMNET,prediction,30/06/2019,6.221613153,5.625589752,6.817636554,502.5148237,276.4358547,912.8226851
1,GLMNET,prediction,07/07/2019,6.278639074,5.596434295,6.960843853,532.0627111,268.4638637,1053.523045
1,GLMNET,prediction,14/07/2019,6.493079475,5.810874696,7.175284254,659.5543952,332.9110686,1305.731492
